clubName,courtNumber,date,startHour,startTime,endTime,bookable,courtBookingLink,location
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-19","06:00","06:30","09:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-19","14:00","14:30","15:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-19","22:00","22:00","23:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-20","08:00","08:30","09:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-20","15:00","15:00","16:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-22","07:00","07:30","09:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-22","19:00","19:00","22:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-23","06:00","06:30","08:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-23","13:00","13:00","14:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-23","22:00","22:00","23:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-24","06:00","06:30","08:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-24","12:00","12:00","13:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-25","06:00","06:30","07:30","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-25","08:00","08:30","09:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-25","22:00","22:00","23:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-26","06:00","06:30","08:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-26","22:00","22:00","23:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-27","08:00","08:30","09:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-27","15:00","15:00","23:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-28","10:00","10:30","23:00","184.58546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-29","07:00","07:30","23:00","205.58546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-30","06:00","06:30","09:00","228.58546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-30","13:00","13:30","14:30","235.58546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-06-30","17:00","17:00","23:00","239.08546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-01","06:00","06:30","23:00","252.58546166666667","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 2","2025-06-19","06:00","06:30","08:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=1&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 2","2025-06-19","12:00","12:00","14:00","","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-06-19&endDate=2025-06-26&resource=1&&role=guest","Richmond"
