Court,Date,Session Name,Start Time,End Time,Interval (min),Category,SubCategory,Capacity,Restrictions,Court Cost,Guest Price,Member Price
"Stanley Park Court #1","2025-06-02","Default","06:30","08:00","30","0","0","1","Administrator, Member","0","0","0"
"Stanley Park Court #1","2025-06-02","Maintenance","08:00","09:00","60","7000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-02","Booking","09:00","11:00","120","1000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-02","Booking","11:00","13:00","120","1000","0","0","None","12","0","0"
"Stanley Park Court #1","2025-06-02","Booking","13:00","15:00","120","1000","0","0","None","12","0","0"
"Stanley Park Court #1","2025-06-02","Booking","15:00","16:30","90","1000","0","0","None","15","0","0"
"Stanley Park Court #1","2025-06-02","Adult Social Doubles 3.0-3.5","16:30","18:00","90","2000","2010","0","None","0","0","0"
"Stanley Park Court #1","2025-06-02","VTA Social Doubles","18:00","20:00","120","1000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-02","Default","20:00","21:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-03","Default","06:30","08:00","30","0","0","1","Administrator, Member","0","0","0"
"Stanley Park Court #1","2025-06-03","Maintenance","08:00","09:00","60","7000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-03","Default","09:00","10:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-03","Booking","10:00","11:00","60","1000","0","0","None","6","0","0"
"Stanley Park Court #1","2025-06-03","Default","11:00","13:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-03","Sofia Culugan","13:00","15:00","120","1000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-03","Default","15:00","15:30","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-03","Booking","15:30","16:30","60","1000","0","0","None","10","0","0"
"Stanley Park Court #1","2025-06-03","Adult--Develop 1.5","16:30","18:00","90","2000","2010","0","None","0","0","0"
"Stanley Park Court #1","2025-06-03","Booking","18:00","19:30","90","1000","0","0","None","15","0","0"
"Stanley Park Court #1","2025-06-03","Booking","19:30","21:00","90","1000","0","0","None","15","0","0"
"Stanley Park Court #1","2025-06-04","Default","06:30","08:00","30","0","0","1","Administrator, Member","0","0","0"
"Stanley Park Court #1","2025-06-04","Maintenance","08:00","09:00","60","7000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-04","Default","09:00","10:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-04","Booking","10:00","12:00","120","1000","0","0","None","12","0","0"
"Stanley Park Court #1","2025-06-04","Default","12:00","15:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-04","Booking","15:00","17:00","120","1000","0","0","None","20","0","0"
"Stanley Park Court #1","2025-06-04","Booking","17:00","18:00","60","1000","0","0","None","10","0","0"
"Stanley Park Court #1","2025-06-04","Adult Improver 2.0","18:00","19:30","90","2000","2010","0","None","0","0","0"
"Stanley Park Court #1","2025-06-04","Adult Developing 2.5","19:30","21:00","90","2000","2010","0","None","0","0","0"
"Stanley Park Court #1","2025-06-05","Default","06:30","08:00","30","0","0","1","Administrator, Member","0","0","0"
"Stanley Park Court #1","2025-06-05","Maintenance","08:00","09:00","60","7000","0","0","None","0","0","0"
"Stanley Park Court #1","2025-06-05","Default","09:00","09:30","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-05","Booking","09:30","11:30","120","1000","0","0","None","12","0","0"
"Stanley Park Court #1","2025-06-05","Default","11:30","13:00","30","0","0","1","Member","0","0","0"
"Stanley Park Court #1","2025-06-05","Booking","13:00","15:00","120","1000","0","0","None","12","0","0"
